datetime,symbol,expiry,strike,option_type,open,high,low,close,volume
2026-05-15 09:15:00,NIFTY,2026-05-21,22000,CE,100,105,95,102,500
2026-05-15 09:16:00,NIFTY,2026-05-21,22000,CE,102,115,100,112,600
2026-05-15 09:17:00,NIFTY,2026-05-21,22000,CE,112,114,108,110,550
2026-05-15 09:18:00,NIFTY,2026-05-21,22050,CE,95,110,94,108,650
2026-05-15 09:19:00,NIFTY,2026-05-21,22100,CE,82,98,80,95,700
2026-05-15 09:20:00,NIFTY,2026-05-21,22050,CE,108,109,100,101,620
2026-05-15 09:20:00,NIFTY,2026-05-21,22100,CE,95,97,88,90,610
2026-05-15 09:15:00,NIFTY,2026-05-21,22000,PE,95,98,90,93,450
2026-05-15 09:16:00,NIFTY,2026-05-21,22000,PE,93,94,88,89,470
2026-05-15 09:17:00,NIFTY,2026-05-21,22000,PE,89,95,87,92,520
2026-05-15 09:18:00,NIFTY,2026-05-21,22050,PE,105,108,98,100,500
2026-05-15 09:19:00,NIFTY,2026-05-21,22100,PE,125,130,118,120,560
2026-05-15 09:20:00,NIFTY,2026-05-21,22050,PE,100,107,96,104,590
2026-05-15 09:20:00,NIFTY,2026-05-21,22100,PE,120,128,116,126,530
